doc_id,group,engine,device,lang,n_pages,seconds,sec_per_page,gt_found,gt_chars,pred_chars,gt_words,pred_words,exact_match,cer,wer,char_errors,word_errors,normalize,error,pdf,gt,pred_path
en__24-7435_5if6,en,paddleocr_vl,gpu:0,,,,,1,5113,5111,826,828,0,0.001956,0.01816,10,15,basic,,/home/hjkim/doc_ocr/data/en/24-7435_5if6.pdf,/home/hjkim/doc_ocr/data/gt/en/24-7435_5if6.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__24-7435_5if6.txt
en__249799,en,paddleocr_vl,gpu:0,,,,,1,3290,2940,467,422,0,0.151976,0.158458,500,74,basic,,/home/hjkim/doc_ocr/data/en/249799.pdf,/home/hjkim/doc_ocr/data/gt/en/249799.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__249799.txt
en__25-524_0971,en,paddleocr_vl,gpu:0,,,,,1,5399,5336,867,829,0,0.01241,0.086505,67,75,basic,,/home/hjkim/doc_ocr/data/en/25-524_0971.pdf,/home/hjkim/doc_ocr/data/gt/en/25-524_0971.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-524_0971.txt
en__25-821_e29g,en,paddleocr_vl,gpu:0,,,,,1,1473,1462,238,231,0,0.008826,0.058824,13,14,basic,,/home/hjkim/doc_ocr/data/en/25-821_e29g.pdf,/home/hjkim/doc_ocr/data/gt/en/25-821_e29g.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-821_e29g.txt
en__25-851_ed9f,en,paddleocr_vl,gpu:0,,,,,1,1505,1489,249,240,0,0.010631,0.068273,16,17,basic,,/home/hjkim/doc_ocr/data/en/25-851_ed9f.pdf,/home/hjkim/doc_ocr/data/gt/en/25-851_ed9f.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-851_ed9f.txt
en__25-885_5h26,en,paddleocr_vl,gpu:0,,,,,1,5550,5501,939,915,0,0.008829,0.053248,49,50,basic,,/home/hjkim/doc_ocr/data/en/25-885_5h26.pdf,/home/hjkim/doc_ocr/data/gt/en/25-885_5h26.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-885_5h26.txt
en__USCOURTS-caed-6_25-mj-00015-1,en,paddleocr_vl,gpu:0,,,,,1,5601,5666,983,990,0,0.104446,0.191251,585,188,basic,,/home/hjkim/doc_ocr/data/en/USCOURTS-caed-6_25-mj-00015-1.pdf,/home/hjkim/doc_ocr/data/gt/en/USCOURTS-caed-6_25-mj-00015-1.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__USCOURTS-caed-6_25-mj-00015-1.txt
en__USCOURTS-mnd-0_06-cr-00130-1,en,paddleocr_vl,gpu:0,,,,,1,3348,3392,527,533,0,0.014337,0.024668,48,13,basic,,/home/hjkim/doc_ocr/data/en/USCOURTS-mnd-0_06-cr-00130-1.pdf,/home/hjkim/doc_ocr/data/gt/en/USCOURTS-mnd-0_06-cr-00130-1.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__USCOURTS-mnd-0_06-cr-00130-1.txt
en__gomez_albertocortes,en,paddleocr_vl,gpu:0,,,,,1,2508,2462,389,374,0,0.049442,0.095116,124,37,basic,,/home/hjkim/doc_ocr/data/en/gomez_albertocortes.pdf,/home/hjkim/doc_ocr/data/gt/en/gomez_albertocortes.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__gomez_albertocortes.txt
en__vae1_tetteh_0,en,paddleocr_vl,gpu:0,,,,,1,2864,2818,454,430,0,0.092179,0.160793,264,73,basic,,/home/hjkim/doc_ocr/data/en/vae1_tetteh_0.pdf,/home/hjkim/doc_ocr/data/gt/en/vae1_tetteh_0.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__vae1_tetteh_0.txt
ko__140801_서부지검_보도자료,ko,paddleocr_vl,gpu:0,,,,,1,3698,3727,776,817,0,0.079773,0.378866,295,294,basic,,/home/hjkim/doc_ocr/data/ko/140801_서부지검_보도자료.pdf,/home/hjkim/doc_ocr/data/gt/ko/140801_서부지검_보도자료.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__140801_서부지검_보도자료.txt
